Player ID,BB%,BAA,TBF,H,BB,Outs,K,GB%,CMD,STF,VEL
cruzfe01,0.107,0.167,131,19,14,98,54,0.344,59,101,94
rogertr01,0.063,0.168,237,37,15,185,54,0.467,80,101,67
abreubr01,0.113,0.167,213,31,24,158,78,0.352,56,101,88
diazed04,0.096,0.159,177,24,17,136,67,0.512,64,104,88
paganem01,0.088,0.161,194,28,17,149,57,0.294,68,104,76
armstsh01,0.08,0.16,201,28,16,157,53,0.317,72,104,72
haderjo01,0.078,0.158,206,29,16,161,76,0.207,73,105,86
weavelu01,0.073,0.156,177,25,13,139,47,0.252,75,106,72
munozan01,0.12,0.147,184,23,22,139,59,0.510,52,109,81
chapmar01,0.076,0.134,171,21,13,137,65,0.366,74,114,86
bautife01,0.162,0.134,142,16,23,103,50,0.507,32,114,87
