Player ID,BB%,AVG,HR,H,HR%,CON,POW,EYE
luxga01,0.112,0.276,4,92,0.0435,78,60,76
queroed01,0.086,0.268,3,64,0.0469,76,60,70
meidrch01,0.095,0.252,3,78,0.0385,72,60,72
arraelu01,0.049,0.294,6,133,0.0451,82,60,62
isbelky01,0.042,0.267,3,76,0.0395,76,60,61
martini02,0.081,0.225,1,23,0.0435,65,60,69
torrelu01,0.082,0.214,2,43,0.0465,62,60,70
meyerja02,0.084,0.308,3,89,0.0337,86,59,70
hoernni01,0.059,0.289,4,123,0.0325,81,59,65
strawmy01,0.055,0.254,2,54,0.0370,72,59,64
bailepa01,0.07,0.216,2,61,0.0328,63,59,67
ruizke01,0.03,0.247,2,63,0.0317,71,59,58
hayeske01,0.043,0.231,3,92,0.0326,67,59,61
tayloty01,0.043,0.2,2,55,0.0364,59,59,61
bartjo01,0.127,0.236,1,51,0.0196,68,58,79
waterdr01,0.05,0.243,1,50,0.0200,70,58,63
edwarxa01,0.085,0.303,1,125,0.0080,85,57,70
kineris01,0.044,0.268,1,91,0.0110,76,57,61
willibe03,0.051,0.253,1,70,0.0143,72,57,63
tenajo01,0.093,0.241,0,35,0.0000,69,56,72
espinsa01,0.066,0.249,0,69,0.0000,71,56,66
allenni02,0.08,0.227,0,70,0.0000,66,56,69
youngja03,0.078,0.228,0,57,0.0000,66,56,69
verdual01,0.066,0.239,0,47,0.0000,69,56,66
urshegi01,0.07,0.234,0,40,0.0000,67,56,67
acunajo01,0.063,0.239,0,38,0.0000,69,56,65
renfrhu01,0.074,0.182,0,18,0.0000,54,56,68
